驕傲,"jiāoào

pride",,
角度,"jiǎodù

angle",,
教材,"jiàocái

teaching material",,
教授,"jiàoshòu

professor",,
教訓,"jiàoxun

lesson",,
教育,"jiàoyù

to educate",,
接觸,"jiēchù

to touch",,
接受,"jiēshòu

to accept",,
接著,"jiēzhe

to catch and hold on",,
結果,"jiéguǒ

to bear fruit",,
結局,"jiéjú

conclusion",,
解決,"jiějué

to settle (a dispute)",,
僅,"jǐn

barely",,
盡,"jìn

to use up",,
進行,"jìnxíng

to advance",,
經費,"jīngfèi

funds",,
精神,"jīngshén

spirit",,
驚訝,"jīngyà

amazed",,
酒吧,"jiǔbā

bar",,
就是,"jiùshì

(emphasizes that sth is precisely or exactly as stated)",,
就算,"jiùsuàn

granted that",,
就要,"jiùyào

will",,
居住,"jūzhù

to reside",,
舉,"jǔ

to lift",,
舉手,"jǔshǒu

to raise a hand",,
聚,"jù

to congregate",,
拒絕,"jùjué

to refuse",,
距離,"jùlí

distance",,
具有,"jùyǒu

to have",,
絕對,"juéduì

absolute",,
開朗,"kāilǎng

spacious and well-lit",,
看法,"kànfǎ

way of looking at a thing",,
刻,"kè

quarter (hour)",,
科技,"kējì

science and technology",,
可靠,"kěkào

reliable",,
可樂,"kělè

amusing",,
可惡,"kěwù

repulsive",,
可惜,"kěxí

it is a pity",,
渴望,"kěwàng

to thirst for",,
課程,"kèchéng

course",,
課堂,"kètáng

classroom",,
肯,"kěn

to agree",,
空間,"kōngjiān

space",,
恐怕,"kǒngpà

fear",,
口袋,"kǒudài

pocket",,
誇張,"kuāzhāng

to exaggerate",,
況且,"kuàngqiě

moreover",,
困難,"kùnnán

difficult",,
擴大,"kuòdà

to expand",,
啦,"la

(onom.) sound of singing, cheering etc",,
老虎,"lǎohǔ

tiger",,
老婆,"lǎopo

(coll.) wife",,
老實,"lǎoshi

honest",,
老是,"lǎoshì

always",,
樂觀,"lèguān

optimistic",,
淚,"lèi

tears",,
類,"lèi

kind",,
理解,"lǐjiě

to comprehend",,
理想,"lǐxiǎng

an ideal",,
力量,"lìlìang

power",,
厲害,"lìhai

difficult to deal with",,
立刻,"lìkè

forthwith",,
例如,"lìrú

for example",,
例子,"lìzi

case",,
利用,"lìyòng

to exploit",,
連,"lián

to link",,
良好,"liánghǎo

good",,
了不起,"liǎobuqǐ

amazing",,
領域,"lǐngyù

domain",,
令,"lìng

classifier for a ream of paper",,
流血,"liúxiě

to bleed",,
錄取,"lùqǔ

to accept an applicant (prospective student, employee etc) who passes an entrance exam",,
錄音,"lùyīn

to record (sound)",,
旅客,"lǚkè

traveler",,
律師,"lǜshī

lawyer",,
嘛,"ma

modal particle indicating that sth is obvious",,
滿足,"mǎnzú

to satisfy",,
慢慢,"mànmàn

slowly",,
貿易,"màoyì

(commercial) trade",,
沒什麼,"méishénme

nothing",,
美好,"měihǎo

beautiful",,
夢,"mèng

dream",,
迷人,"mírén

fascinating",,
密切,"mìqiè

close",,
免費,"miǎnfèi

free (of charge)",,
面前,"miànqián

in front of",,
描寫,"miáoxiě

to describe",,
秒,"miǎo

second (unit of time)",,
名詞,"míngcí

noun",,
明白,"míngbái

clear",,
明顯,"míngxiǎn

clear",,
陌生,"mòshēng

strange",,
某,"mǒu

some",,
木,"mù

tree",,
目的,"mùdì

purpose",,
目前,"mùqián

at the present time",,
哪些,"nǎxiē

which ones?",,
那樣,"nàyàng

that kind",,
耐心,"nàixīn

to be patient",,
難怪,"nánguài

(it's) no wonder (that...)",,
內容,"nèiróng

content",,
能力,"nénglì

capability",,
年代,"niándài

a decade of a century (e.g. the Sixties)",,
年齡,"niánlíng

(a person's) age",,
農業,"nóngyè

agriculture",,
喔,"ō

I see",,
拍,"pāi

to pat",,
牌子,"páizi

sign",,
碰到,"pèngdào

to come across",,
批評,"pīpíng

to criticize",,
皮膚,"pífū

skin",,
品質,"pǐnzhí

character",,
平等,"píngděng

equal",,
平時,"píngshí

ordinarily",,
平原,"píngyuán

field",,
破,"pò

broken",,
普遍,"pǔbiàn

universal",,
其實,"qíshí

actually",,
其中,"qízhōng

among",,
期間,"qíjiān

period of time",,
氣溫,"qìwēn

air temperature",,
企業,"qìyè

company",,
簽證,"qiānzhèng

visa",,
謙虛,"qiānxū

modest",,
強調,"qiángdiào

to emphasize (a statement)",,
搶,"qiǎng

to fight over",,
親切,"qīnqiè

amiable",,
親手,"qīnshǒu

personally",,
親自,"qīnzì

personally",,
青少年,"qīngshàonián

adolescent",,
情況,"qíngkuàng

circumstances",,
情形,"qíngxíng

circumstances",,
窮,"qióng

poor",,
取代,"qǔdài

to replace",,
全球,"quánqiú

entire",,
卻,"què

but",,
確定,"quèdìng

definite",,
確認,"quèrèn

to confirm",,
熱水,"rèshuǐ

hot water",,
人家,"rénjiā

household",,
人口,"rénkǒu

population",,
人類,"rénlèi

humanity",,
人們,"rénmen

people",,
人民,"rénmín

the people",,
人人,"rénrén

everyone",,
人數,"rénshù

number of people",,
人物,"rénwù

person",,
任務,"rènwù

mission",,
仍,"réng

still",,
仍然,"réngrán

still",,
日子,"rìzi

day",,
如此,"rúcǐ

in this way",,
如下,"rúxià

as follows",,
殺,"shā

to kill",,
傷害,"shānghài

to injure",,
商品,"shāngpǐn

commodity",,
商業,"shāngyè

business",,
蛇,"shé

snake",,
設備,"shèbèi

equipment",,
設計,"shèjì

plan",,
深入,"shēnrù

to penetrate deeply",,
身高,"shēngāo

(a person's) height",,
身上,"shēnshàng

on the body",,
甚至,"shènzhì

even",,
升,"shēng

variant of 升[sheng1]",,
生產,"shēngchǎn

to produce",,
生命,"shēngmìng

life (as the characteristic of living beings)",,
生意,"shēngyì

life force",,
省,"shěng

to save",,
剩,"shèng

to remain",,
剩下,"shèngxia

to remain",,
失去,"shīqù

to lose",,
獅子,"shīzi

Leo (star sign)",,
十分,"shífēn

very",,
石頭,"shítou

stone",,
石油,"shíyóu

oil",,
時代,"shídài

Time, US weekly news magazine",,
時刻,"shíkè

time",,
實際,"shíjì

reality",,
實力,"shílì

strength",,
實行,"shíxíng

to implement",,
實在,"shízài

really",,
使用,"shǐyòng

to use",,
事實,"shìshí

fact",,
事業,"shìyè

undertaking",,
適應,"shìyìng

to adapt",,
市長,"shìzhǎng

mayor",,
蔬菜,"shūcài

vegetables",,
叔叔,"shúshu

father's younger brother",,
熟悉,"shoúxī

to be familiar with",,
數字,"shùzì

numeral",,
刷牙,"shuāyá

to brush one's teeth",,
水平,"shuǐpíng

level (of achievement etc)",,
水準,"shuǐzhǔn

level (of achievement etc)",,
順利,"shùnlì

smoothly",,
說法,"shuōfǎ

to expound Buddhist teachings",,
說明,"shuōmíng

to explain",,
思考,"sīkǎo

to reflect on",,
思想,"sīxiǎng

thought",,
似乎,"sìhū

apparently",,
速度,"sùdù

speed",,
隨便,"suíbiàn

as one wishes",,
隨時,"suíshí

at any time",,
所謂,"suǒwèi

so-called",,
它,"tā

it",,
它們,"tāmen

they (for inanimate objects)",,
抬,"tái

to lift",,
態度,"tàidù

manner",,
談話,"tánhuà

talk",,
討厭,"tǎoyàn

to dislike",,
特殊,"tèshū

special",,
提,"tí

to carry (hanging down from the hand)",,
提到,"tídào

to mention",,
提高,"tígāo

to raise",,
提供,"tígōng

to offer",,
題材,"tícái

subject matter",,
題目,"tímù

subject",,
體會,"tǐhuì

to know from experience",,
體重,"tǐzhòng

body weight",,
天天,"tiāntiān

every day",,
甜點,"tiándiǎn

dessert",,
條件,"tiáojiàn

condition",,
通過,"tōngguò

by means of",,
同時,"tóngshí

at the same time",,
同樣,"tóngyàng

same",,
痛苦,"tòngkǔ

pain",,
投,"tóu

to cast",,
投資,"tóuzī

investment",,
突然,"túrán

sudden",,
土,"tǔ

Tu (ethnic group)",,
土地,"tǔdì

land",,
團體,"tuántǐ

group",,
推,"tuī

to push",,
推薦,"tuījiàn

to recommend",,
退步,"tuìbù

to do less well than before",,
退休,"tuìxiū

to retire",,
脫,"tuō

to shed",,
外公,"wàigōng

(coll.) mother's father",,
外婆,"wàipó

(coll.) mother's mother",,
完成,"wánchéng

to complete",,
完全,"wánquán

complete",,
萬一,"wànyī

just in case",,
網路,"wǎnglù

network (computer, telecom)",,
往往,"wǎngwǎng

usually",,
忘記,"wàngjì

to forget",,
微笑,"wéixiào

smile",,
為主,"wéizhǔ

to rely mainly on",,
未來,"wèilái

future",,
位置,"wèizhì

position",,
位子,"wèizi

place",,
文件,"wénjiàn

document",,
文學,"wénxué

literature",,
文字,"wénzì

character",,
穩定,"wěndìng

steady",,
握手,"wòshǒu

to shake hands",,
屋子,"wūzi

house",,
無法,"wúfǎ

unable",,
西方,"xīfāng

the West",,
吸收,"xīshōu

to absorb",,
吸引,"xīyǐn

to attract (interest, investment etc)",,
犧牲,"xīshēng

to sacrifice one's life",,
細心,"xìxīn

careful",,
系統,"xìtǒng

system",,
下來,"xiàlai

to come down",,
線,"xiàn

thread",,
現代,"xiàndài

Hyundai, South Korean company",,
現實,"xiànshí

reality",,
現象,"xiànxiàng

appearance",,
限制,"xiànzhì

to restrict",,
相當,"xiāngdāng

equivalent to",,
相對,"xiāngduì

relatively",,
相反,"xiāngfǎn

opposite",,
相關,"xiāngguān

related",,
相同,"xiāngtóng

identical",,
箱子,"xiāngzi

suitcase",,
詳細,"xiángxì

detailed",,
想到,"xiǎngdào

to think of",,
想法,"xiǎngfǎ

way of thinking",,
想像,"xiǎngxiàng

to imagine",,
項,"xiàng

back of neck",,
效果,"xiàoguǒ

result",,
協助,"xiézhù

to provide assistance",,
心得,"xīndé

what one has learned (through experience, reading etc)",,
心理,"xīnlǐ

mental",,
新生,"xīnshēng

new",,
信心,"xìnxīn

confidence",,
興奮,"xīngfèn

excited",,
行動,"xíngdòng

operation",,
行為,"xíngwéi

action",,
形容,"xíngróng

to describe",,
醒,"xǐng

to wake up",,
性別,"xìngbié

gender",,
幸好,"xìnghǎo

fortunately",,
幸虧,"xìngkuī

fortunately",,
熊貓,"xióngmāo

panda",,
修,"xiū

dried meat",,
需求,"xūqiú

requirement",,
選,"xuǎn

to choose",,
選擇,"xuǎnzé

to select",,
尋找,"xúnzhǎo

to seek",,
訓練,"xùnliàn

to train",,
鴨,"yā

duck",,
牙齒,"yáchǐ

tooth",,
研究,"yánjiù

research",,
嚴重,"yánzhòng

grave",,
演講,"yǎnjiǎng

lecture",,
眼淚,"yǎnlèi

tears",,
要求,"yāoqiú

to request",,
咬,"yǎo

variant of 咬[yao3]",,
也好,"yěhǎo

",,
頁,"yè

page",,
一下子,"yīxiàzi

in a short while",,
一塊,"yīkuài

one block",,
一切,"yīqiè

everything",,
一向,"yīxiàng

always (previously)",,
以來,"yǐlái

since (a previous event)",,
以免,"yǐmiǎn

in order to avoid",,
以上,"yǐshàng

that level or higher",,
以外,"yǐwài

apart from",,
以為,"yǐwéi

to think (i.e. to take it to be true that ...) (Usually there is an implication that the notion is mistaken – except when expressing one's own current opinion.)",,
以下,"yǐxià

that level or lower",,
一生,"yìshēng

all one's life",,
一時,"yìshí

a period of time",,
意見,"yìjiàn

idea",,
意外,"yìwài

unexpected",,
意義,"yìyì

sense",,
因此,"yīncǐ

thus",,
引起,"yǐnqǐ

to give rise to",,
營養,"yíngyǎng

nutrition",,
影片,"yǐngpiàn

film",,
擁有,"yǒngyǒu

to have",,
用法,"yòngfǎ

usage",,
用品,"yòngpǐn

articles for use",,
幽默,"yōumò

(loanword) humor",,
尤其,"yóuqí

especially",,
有效,"yǒuxiào

effective",,
有意思,"yǒuyìsi

interesting",,
與,"yǔ

and",,
遇到,"yùdào

to meet",,
員工,"yuángōng

staff",,
原諒,"yuánliàng

to excuse",,
原因,"yuányīn

cause",,
願望,"yuànwàng

desire",,
閱讀,"yuèdú

to read",,
造成,"zàochéng

to bring about",,
責任,"zérèn

responsibility",,
增加,"zēngjiā

to raise",,
暫時,"zhànshí

temporary",,
戰爭,"zhànzhēng

war",,
掌握,"zhǎngwò

to grasp (often fig.)",,
障礙,"zhàngài

barrier",,
這樣,"zhèyàng

this kind of",,
這樣子,"zhèyàngzi

so",,
真的,"zhēnde

",,
真實,"zhēnshí

true",,
真是,"zhēnshì

indeed",,
真正,"zhēnzhèng

genuine",,
整,"zhěng

exactly",,
整理,"zhěnglǐ

to arrange",,
正常,"zhèngcháng

regular",,
正確,"zhèngquè

correct",,
證明,"zhèngmíng

proof",,
支,"zhī

to support",,
知識,"zhīshì

knowledge",,
之間,"zhījiān

between",,
之前,"zhīqián

before",,
直到,"zhídào

until",,
值得,"zhíde

to be worth",,
職員,"zhíyuán

office worker",,
只是,"zhǐshì

merely",,
只要,"zhǐyào

if only",,
只有,"zhǐyǒu

",,
制度,"zhìdù

system (e.g. political, adminstrative etc)",,
智慧,"zhìhuì

wisdom",,
至少,"zhìshǎo

at least",,
至於,"zhìyú

as for",,
終於,"zhōngyú

at last",,
重點,"zhòngdiǎn

to recount (e.g. results of election)",,
重視,"zhòngshì

to attach importance to sth",,
周圍,"zhōuwéi

surroundings",,
主管,"zhǔguǎn

in charge",,
主任,"zhǔrèn

director",,
主題,"zhǔtí

theme",,
主要,"zhǔyào

main",,
主意,"zhǔyì

plan",,
助理,"zhùlǐ

assistant",,
抓,"zhuā

to grab",,
專業,"zhuānyè

specialty",,
狀態,"zhuàngtài

state of affairs",,
追求,"zhuīqiú

to pursue (a goal etc) stubbornly",,
準時,"zhǔnshí

on time",,
資料,"zīliào

material",,
資源,"zīyuán

natural resource (such as water or minerals)",,
仔細,"zǐxì

careful",,
自從,"zìcóng

since (a time)",,
自動,"zìdòng

automatic",,
自然,"zìrán

nature",,
自信,"zìxìn

to have confidence in oneself",,
自由,"zìyóu

freedom",,
宗教,"zōngjiào

religion",,
總算,"zǒngsuàn

at long last",,
總統,"zǒngtǒng

president (of a country)",,
走走,"zǒuzou

",,
祖父,"zǔfù

father's father",,
祖母,"zǔmǔ

father's mother",,
祖先,"zǔxiān

ancestor",,
最初,"zuìchū

first",,
最好,"zuìhǎo

best",,
最佳,"zuìjiā

optimum",,
作者,"zuòzhě

author",,
做事,"zuòshì

to work",,
愛人,"àirén

spouse (PRC)",,
安慰,"ānwèi

to comfort",,
暗,"àn

to close (a door)",,
熬,"áo

to boil",,
擺脫,"bǎituō

to break away from",,
拜訪,"bàifǎng

to pay a visit",,
半路,"bànlù

halfway",,
半數,"bànshù

half the number",,
辦公,"bàngōng

to handle official business",,
棒子,"bàngzi

stick",,
包括,"bāokuò

to comprise",,
包裝,"bāozhuāng

to pack",,
保持,"bǎochí

to keep",,
保存,"bǎocún

to conserve",,
保障,"bǎozhàng

to ensure",,
寶寶,"bǎobao

darling",,
報導,"bàodǎo

to report (in the media)",,
報社,"bàoshè

newspaper (i.e. a company)",,
暴力,"bàolì

violence",,
悲劇,"bēijù

tragedy",,
倍,"bèi

(two, three etc) -fold",,
本身,"běnshēn

itself",,
比方,"bǐfāng

analogy",,
比例,"bǐlì

proportion",,
彼此,"bǐcǐ

each other",,
編,"biān

to weave",,
扁,"biǎn

flat",,
變動,"biàndòng

to change",,
標題,"biāotí

title",,
表格,"biǎogé

form",,
表情,"biǎoqíng

(facial) expression",,
並,"bìng

and",,
病毒,"bìngdú

virus",,
病房,"bìngfáng

ward (of a hospital)",,
薄,"bó

thin",,
薄弱,"bóruò

weak",,
補充,"bǔchōng

to replenish",,
不大,"bùdà

not very",,
不安,"bùān

unpeaceful",,
不成,"bùchéng

won't do",,
不當,"bùdàng

unsuitable",,
不到,"bùdào

not to arrive",,
不顧,"bùgù

in spite of",,
不僅,"bùjǐn

not only (this one)",,
不良,"bùliáng

bad",,
不然,"bùrán

not so",,
不止,"bùzhǐ

incessantly",,
財富,"cáifù

wealth",,
才能,"cáinéng

talent",,
裁員,"cáiyuán

to cut staff",,
踩,"cǎi

to step on",,
採購,"cǎigòu

to procure (for an enterprise etc)",,
彩色,"cǎisè

color",,
慘,"cǎn

miserable",,
策略,"cèlüè

strategy",,
測量,"cèliáng

survey",,
測驗,"cèyàn

test",,
差距,"chājù

disparity",,
產業,"chǎnyè

industry",,
場合,"chǎnghé

situation",,
超出,"chāochū

to exceed",,
超越,"chāoyuè

to surpass",,
朝,"cháo

imperial or royal court",,
扯,"chě

to pull",,
沉,"chén

to submerge",,
稱,"chēng

to fit",,
撐,"chēng

to support",,
成本,"chéngběn

(manufacturing, production etc) costs",,
成分,"chéngfèn

composition",,
成立,"chénglì

to establish",,
成天,"chéngtiān

(coll.) all day long",,
成為,"chéngwéi

to become",,
乘客,"chéngkè

passenger",,
誠懇,"chéngkěn

sincere",,
呈現,"chéngxiàn

to appear",,
程序,"chéngxù

procedures",,
沖,"chōng

(of water) to dash against",,
充分,"chōngfèn

ample",,
充滿,"chōngmǎn

full of",,
出色,"chūsè

remarkable",,
出事,"chūshì

to have an accident",,
出席,"chūxí

to attend",,
初級,"chūjí

junior",,
除非,"chúfēi

only if (..., or otherwise, ...)",,
處處,"chùchù

everywhere",,
傳播,"chuánbò

to disseminate",,
傳達,"chuándá

to pass on",,
傳染,"chuánrǎn

to infect",,
傳說,"chuánshuō

legend",,
此外,"cǐwài

besides",,
從此,"cóngcǐ

from now on",,
湊,"còu

to gather together, pool or collect",,
粗,"cū

remote",,
錯字,"cuòzì

incorrect character",,
措施,"cuòshī

measure",,
答案,"dáàn

answer",,
達到,"dádào

to reach",,
打包,"dǎbāo

to wrap",,
大哥,"dàgē

eldest brother",,
大力,"dàlì

energetically",,
大量,"dàliàng

great amount",,
大腦,"dànǎo

brain",,
大型,"dàxíng

large",,
大致,"dàzhì

more or less",,
大眾,"dàzhòng

Volkswagen (automobile manufacturer)",,
大自然,"dàzìrán

nature (the natural world)",,
代價,"dàijià

price",,
貸款,"dàikuǎn

a loan",,
單位,"dānwèi

unit (of measure)",,
耽誤,"dānwù

to delay",,
誕生,"dànshēng

to be born",,
當初,"dāngchū

at that time",,
當時,"dāngshí

then",,
擋,"dǎng

to resist",,
道路,"dàolù

road",,
得分,"défēn

to score",,
得罪,"dézuì

to commit an offense",,
登,"dēng

to scale (a height)",,
登山,"dēngshān

to climb a mountain",,
等不及,"děngbují

can't wait",,
等到,"děngdào

to wait until",,
等級,"děngjí

grade",,
滴,"dī

a drop",,
抵抗,"dǐkàng

to resist",,
地面,"dìmiàn

floor",,
地震,"dìzhèn

earthquake",,
典型,"diǎnxíng

model",,
點燃,"diǎnrán

to ignite",,
墊,"diàn

pad",,
電視台,"diànshìtái

",,
電線,"diànxiàn

wire",,
電子,"diànzǐ

electronic",,
跌,"dié

to fall",,
丁,"dīng

fourth of the ten Heavenly Stems 十天干[shi2 tian1 gan1]",,
盯,"dīng

to watch attentively",,
頂,"dǐng

apex",,
定期,"dìngqí

at set dates",,
丟臉,"diūliǎn

to lose face",,
懂得,"dǒngde

to understand",,
洞,"dòng

cave",,
凍,"dòng

to freeze",,
獨立,"dúlì

independent",,
獨自,"dúzì

alone",,
賭,"dǔ

to bet",,
對策,"duìcè

countermeasure for dealing with a situation",,
對付,"duìfù

to handle",,
對抗,"duìkàng

to withstand",,
對立,"duìlì

to oppose",,
多半,"duōbàn

most",,
多多,"duōduō

many",,
多數,"duōshù

majority",,
奪,"duó

to seize",,
躲,"duǒ

to hide",,
惡劣,"èliè

vile",,
而已,"éryǐ

that's all",,
發抖,"fādǒu

to tremble",,
發行,"fāxíng

to publish",,
發言,"fāyán

to make a speech",,
發展,"fāzhǎn

development",,
繁榮,"fánróng

prosperous",,
反對,"fǎnduì

to fight against",,
反覆,"fǎnfù

repeatedly",,
反面,"fǎnmiàn

reverse side",,
反問,"fǎnwèn

to ask (a question) in reply",,
反映,"fǎnyìng

to mirror",,
反正,"fǎnzhèng

anyway",,
返回,"fǎnhuí

to return to",,
犯錯,"fàncuò

to err",,
方案,"fāngàn

plan",,
防,"fáng

to protect",,
防止,"fángzhǐ

to prevent",,
放大,"fàngdà

to enlarge",,
放棄,"fàngqì

to renounce",,
非法,"fēifǎ

illegal",,
肥,"féi

fat",,
肥胖,"féipàng

fat",,
肥皂,"féizào

soap",,
廢氣,"fèiqì

exhaust gas",,
